CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 30330
NOMBRE    : HEROICA CORDOBA (SMN)
ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE
MUNICIPIO : CORDOBA
SITUACI�N : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.883�
LONGITUD  : -096.917�
ALTITUD   : 803 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
22/01/1979  0.5    0.6    29.5   7.5 
23/01/1979  0      1.5    31     8 
24/01/1979  3.1    0.2    30     7 
25/01/1979  0      1.3    30     7 
26/01/1979  0      2.6    30     7.5 
27/01/1979  0      1.4    30     7.5 
28/01/1979  3.7   Nulo    32     7.5 
29/01/1979  0      1.5    32     8 
30/01/1979  0.2    1.2    31     8 
31/01/1979  4.2    0.6    30.5   7.5 
01/02/1979  0      1.9    30     8 
02/02/1979  0      2.3    30     8 
03/02/1979  0      1.3    27     8 
04/02/1979  0      1.4    26     8 
05/02/1979  0      1.9    26     8.5 
06/02/1979  0      0.4    26     9 
07/02/1979  6      0.8    27     9 
08/02/1979  0      0.2    25     9 
09/02/1979  13     0.9    25     8.5 
10/02/1979  0.3    1.2    24.5   8.5 
11/02/1979  5.1    0.4    24     9 
12/02/1979  3.4    0.5    23     9 
13/02/1979  0      1.3    23     9 
14/02/1979  0      2.2    25     9 
15/02/1979  0      2.2    27.5   9 
16/02/1979  0      2.3    29.5   9 
17/02/1979  0.3    1.1    28     9.5 
18/02/1979  2.2   Nulo    28     9.5 
19/02/1979  0.2    1.3    27.5   9 
20/02/1979  0      1.3    27     9 
21/02/1979  0.1    1.1    28     9 
22/02/1979  0      2.6    28.5   9 
23/02/1979  0      4.4    31     9 
24/02/1979  0      3      33     9 
25/02/1979  0.2    0.8    32     9 
26/02/1979  0      0.3    19     9 
27/02/1979  0      0.4    25     9.5 
28/02/1979  0      3.9    30     9.5 
01/03/1979  0      0.8    30     10 
02/03/1979  0      4.3    31.5   9.5 
03/03/1979  0      3.3    33.5   10 
04/03/1979  0.1    0.1    33     9.5 
05/03/1979  5.6    0.2    32.5   9.5 
06/03/1979  4.2    1.3    32.5   9.5 
07/03/1979  3      1      32     9.5 
08/03/1979  0      1.3    31.5   9.5 
09/03/1979  0      2.4    31.5   9.5 
10/03/1979  0      2.7    31     9 
11/03/1979  4.2    0.7    31     9.5 
12/03/1979  0      0.9    30.5   9.5 
13/03/1979  0      3      30     9.5 
14/03/1979  0      2.1    30     10 
15/03/1979  0      2.5    30.5   10 
16/03/1979  0      0.9    29     10 
17/03/1979  0      1.6    28     10 
18/03/1979  0      3.6    30     10 
19/03/1979  0      3.1    31     10 
20/03/1979  0      2.7    31     10 
21/03/1979  0      2.5    30.5   10 
22/03/1979  0      4.9    31     10 
23/03/1979  1.8    4.5    33     10 
24/03/1979  4      0.2    33     10 
25/03/1979  4.5    0.4    33     9.5 
26/03/1979  0      1.3    32.5   9.5 
27/03/1979  0.1    1      32     10 
28/03/1979  0      2.3    32     10 
29/03/1979  0      2.8    31     10 
30/03/1979  0      2.1    31     10 
31/03/1979  0      2.8    31     10 
01/04/1979  0      3.1    31     10 
02/04/1979  0      2.6    32.5   10 
03/04/1979  0      3.2    33     10 
04/04/1979  0.2    1      32.5   10 
05/04/1979  9.5    0.2    32     10 
06/04/1979  0      0.9    32     10 
07/04/1979  0      2.2    31.5   10 
08/04/1979  0      4.9    31.5   10 
09/04/1979  0      3.9    32.5   10 
10/04/1979  0      4.8    34.5   10 
11/04/1979  0      5.2    36.5   10 
12/04/1979  0      5.8    36     10 
13/04/1979  0      5.7    35.5   10 
14/04/1979  0      1.2    35     10 
15/04/1979  0.5    2.6    34.5   10 
16/04/1979  0      3.8    34     10 
17/04/1979  30     0.1    30     10 
18/04/1979  0      0.6    30     10 
19/04/1979  0      2.3    31.5   10 
20/04/1979  3      3.8    31     10 
21/04/1979  9.5    3.2    32     10 
22/04/1979  8.6   Nulo    32     10 
23/04/1979  5      4.2    31.5   10.5 
24/04/1979  23.3   0.2    31     10.5 
25/04/1979  0      2.5    31     10 
26/04/1979  0      3.1    34     10 
27/04/1979  1.2    3.5    34     10.5 
28/04/1979  1.5    2.6    33     10.5 
29/04/1979  0      3.5    32.5   10.5 
30/04/1979  18.2   4.5    32     10.5 
01/05/1979  0      0.2    32     10.5 
02/05/1979  0      3.6    32     10 
03/05/1979  0      5.8    34     10.5 
04/05/1979  28.7   0.5    33     11 
05/05/1979  2.5    2      33     10.5 
06/05/1979  0      3.3    33     11 
07/05/1979  0      0.7    32     11 
08/05/1979  0      1.1    31     11 
09/05/1979  0      4.5    33     10.5 
10/05/1979  0      2.5    32     10.5 
11/05/1979  0      2.6    32     10.5 
12/05/1979  28     2.9    31     10.5 
13/05/1979  15.5   2.1    31     11 
14/05/1979  3      1      30     11 
