CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 30330
NOMBRE    : HEROICA CORDOBA (SMN)
ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE
MUNICIPIO : CORDOBA
SITUACI�N : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.883�
LONGITUD  : -096.917�
ALTITUD   : 803 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
21/04/1980  0      1.7    34     9.5 
22/04/1980  0      2.6    33.5   9.5 
23/04/1980  0      4.1    33.5   9.5 
24/04/1980  0      2.4    33.5   9.5 
25/04/1980  0      4.2    34     9 
26/04/1980  10.5   1.4    35     9 
27/04/1980  21.3   1.4    36     9 
28/04/1980  1.4    0.4    36     9 
29/04/1980  0      2.7    36     9 
30/04/1980  0      3.7    35     9 
01/05/1980  0      4.2    35     9 
02/05/1980  14     3.5    35     9 
03/05/1980  0.1    4      34     9 
04/05/1980  6.4    1.8    35     9.5 
05/05/1980  0      3.7    32.5   9 
06/05/1980  0      0.2    32     9.5 
07/05/1980  0      4.9    32     10 
08/05/1980  0.4    3.5    31.5   9.5 
09/05/1980  0      3.9    32     9.5 
10/05/1980  0      4.8    32     9.5 
11/05/1980  0      3.1    32     9.5 
12/05/1980  0      3      36     9.5 
13/05/1980  1.2    3.8    36     9.5 
14/05/1980  0      4.4    36     9.5 
15/05/1980  0      4.5    36     9.5 
16/05/1980  0      5.3    36     9.5 
17/05/1980  0      3.5    35     9 
18/05/1980  0      4.5    36     9 
19/05/1980  33.4   3.3    38     9 
20/05/1980  0      5.9    37     9.5 
21/05/1980  0      4.4    36     9.5 
22/05/1980  0      3.9    37     9.5 
23/05/1980  26.5   1.4    37     9.5 
24/05/1980  0      3.9    37     1 
25/05/1980  0      3.3    37     9.5 
26/05/1980  2.9    3.8    36     9.5 
27/05/1980  0.5    3.9    35     10 
28/05/1980  0      4.7    34     10 
29/05/1980  0      6      32     9.5 
30/05/1980  0      3.6    32     9.5 
01/06/1980  0      4      33     9.5 
02/06/1980  0      4.9    33     9.5 
03/06/1980  0      3.4    30     9.5 
04/06/1980  0      3.2    33     9.5 
05/06/1980  16.4   4.4    32     9.5 
06/06/1980  0      3.1    32     9.5 
07/06/1980  0      3.5    32.5   9.5 
08/06/1980  0      3.8    32.5   9.5 
09/06/1980  6.5    4.3    32.5   9.5 
10/06/1980  0      3.6    32.5   9.5 
11/06/1980  0      4.4    32     10 
12/06/1980  7.7    3.5    32     10 
13/06/1980  0      4.1    32     9.5 
14/06/1980  0      4.6    32     9.5 
15/06/1980  1.5    2.9    32     9.5 
16/06/1980  33.4   2.2    32     10 
17/06/1980  41.3   1.6    32     10 
18/06/1980  12.8   2.1    31.5   10 
19/06/1980  16.1   3.4    31.5   10 
20/06/1980  37.5   3.5    31     10 
21/06/1980  2      1.2    31     10 
22/06/1980  8.3    2.7    31     10 
23/06/1980  20     2.8    30     10 
24/06/1980  225    0.6    30     10 
25/06/1980  18.6   2.9    30     10 
26/06/1980  35.2   1.1    30.5   10 
27/06/1980  23.4   3.2    31     10 
28/06/1980  15.7   1.6    31     10 
29/06/1980  0      2      31     10 
30/06/1980  0      3.4    31     10 
01/07/1980  0      1.2    31     10 
02/07/1980  0      1.7    31     10 
03/07/1980  2.5    1.7    31     10 
04/07/1980  7.3    2.1    31     10 
05/07/1980  4.6    1.3    32     10 
06/07/1980  0      2.1    32     10 
07/07/1980  0      1.8    31.5   10 
08/07/1980  6.9    1      31.5   10 
09/07/1980  0      2      31     10 
10/07/1980  18.7   2.6    31     10 
11/07/1980  0      1.5    32     10 
12/07/1980  11.2   1.5    32     10 
13/07/1980  3.9    2.5    32     10 
14/07/1980  20.6   0.6    33     10 
15/07/1980  2.6    1      33     10 
16/07/1980  36.5   2.2    33     10 
17/07/1980  45.2   0.3    31     10 
18/07/1980  2.6    0.8    31     10 
19/07/1980  7.4    1.7    31     10 
20/07/1980  4.2    0.1    31     10 
21/07/1980  19.5   1      31     10 
22/07/1980  18.6  Nulo    31     10 
23/07/1980  5.9    0.7    30     10 
24/07/1980  16     0.8    30     10 
25/07/1980  13.2   0.3    30     10 
26/07/1980  21     1.4    30     10 
27/07/1980  39.2   1      30     10 
28/07/1980  8.4    0.5    30     10 
29/07/1980  5      0.5    30     10 
30/07/1980  8.5    0.5    30     10 
31/07/1980  17     0.7    30     10 
01/08/1980  3.9    1.3    30     10 
02/08/1980  0      1.7    30     10 
03/08/1980  13.9   1.8    28     10 
04/08/1980  5.8    1.1    28     10 
05/08/1980  33     0.6    28     10 
06/08/1980  10     2.2    30     10 
07/08/1980  0.2    1.5    30     10 
08/08/1980  15     1.5    30     10 
09/08/1980  0      2.6    30     10 
10/08/1980  0      1.7    32     10 
11/08/1980  20.5   0.9    31     10 
12/08/1980  42.3   1.4    31     10 
13/08/1980  7.6    1      30.5   10 
14/08/1980  33.5   3.1    31     10 
15/08/1980  18     3.6    31     10 
16/08/1980  19.5   1.4    31     10 
17/08/1980  0      2.1    31     10 
18/08/1980  5.2    1.1    31     10 
19/08/1980  0      3      31     10 
20/08/1980  0.5    3.2    31     10 
21/08/1980  0      3.5    29     10 
22/08/1980  0.8    1.8    29     10 
23/08/1980  0      2.6    28     10 
24/08/1980  53.6   3.4    28     10 
25/08/1980  23     3      29     10 
26/08/1980  20     2.3    29     10 
27/08/1980  30     3.5    28     10 
28/08/1980  27     2.3    32     10 
29/08/1980  19     2.5    32     10 
30/08/1980  0.1    0.3    29     10 
31/08/1980  4.3    3.5    29     10 
01/09/1980  38.5   1.9    28     10 
02/09/1980  29     0.3    30     10 
03/09/1980  17.2   4.7    30     10 
04/09/1980  1.3    4.2    30     10 
05/09/1980  8.8    1.6    31     10 
06/09/1980  0      1      31     10 
07/09/1980  25.7   0.7    30     10 
08/09/1980  0      5      30     10 
09/09/1980  13.8   0.5    30     10 
10/09/1980  2      3.9    30     10 
11/09/1980  12     1.3    29     10 
12/09/1980  6.5    1.4    29     10 
13/09/1980  3.2    0.5    29     10 
14/09/1980  4.1    2.3    31     10 
15/09/1980  3      2.2    29     10 
16/09/1980  3.1    0.8    29     10 
17/09/1980  2.1    2.4    28     10 
18/09/1980  1.1    1.5    29     10 
19/09/1980  0      1.9    29     10 
20/09/1980  0      2.6    29     10 
21/09/1980  47     4      30     10 
22/09/1980  34.5   3      29     10 
23/09/1980  20.2   1      28     10.5 
24/09/1980  55     1.1    28     10.5 
25/09/1980  0      0.3    31     10.5 
26/09/1980  0      1.5    28     10.5 
27/09/1980  40     1.8    28     10 
28/09/1980  0      0.1    28     10 
29/09/1980  0.5    1      28.5   10 
30/09/1980  0      1.8    28     10 
01/10/1980  0      1.7    28     10 
02/10/1980  39.8   4.3    27     10 
03/10/1980  0      1.8    26.5   10 
04/10/1980  48.2   2.4    27     10 
05/10/1980  0      1.7    27     10.5 
06/10/1980  0      0.8    28     10.5 
07/10/1980  0.5    2.2    27     10.5 
08/10/1980  2.5    2.3    27     10.5 
09/10/1980  2      2      27     10.5 
10/10/1980  0      2.4    27     10.5 
11/10/1980  0      3.5    27     10.5 
12/10/1980  27.1   3.9    27     10.5 
13/10/1980  0.8    2.2    27     10.5 
14/10/1980  0      4.8    27     10.5 
15/10/1980  0      3.5    27     10.5 
16/10/1980  0      1.5    27     10.5 
17/10/1980  0      1.9    26     10.5 
18/10/1980  2.2    3.1    28     10.5 
19/10/1980  0      1      30     10.5 
20/10/1980  50     4.2    30     10.5 
21/10/1980  5.8    3      30     10.5 
22/10/1980  0      1.3    30     10.5 
23/10/1980  4.2    2.3    30     10.5 
24/10/1980  16.7   3.1    30     10.5 
25/10/1980  16     2.2    29     10.5 
26/10/1980  0      2      29     10.5 
27/10/1980  0      1.5    31     10.5 
28/10/1980  43.6   1.7    31     10.5 
29/10/1980  11.9   3.1    31     10.5 
30/10/1980  1.7    2      30     10.5 
31/10/1980  7.7    0.9    30     10.5 
01/11/1980  0      2.3    30     11 
02/11/1980  2.6    1.2    30     11 
03/11/1980  0      0.7    29.5   10.5 
04/11/1980  44.4   2.4    28     10.5 
05/11/1980  3.7    2.6    28     10.5 
06/11/1980  9.8    3      27.5   10.5 
07/11/1980  0      2.4    27.5   10.5 
08/11/1980  0      2.3    28     10.5 
09/11/1980  0      4.7    28     11 
10/11/1980  0      3.5    28     11 
11/11/1980  0      3.9    27     11 
12/11/1980  0      2      26.5   11 
13/11/1980  0      1      26.5   11 
14/11/1980  0      1.9    28.5   10.5 
15/11/1980  0      1.4    28     10.5 
16/11/1980  0      1      28     10.5 
17/11/1980  5.9    2.3    28     10.5 
18/11/1980  8.8    0.6    27     10.5 
19/11/1980  10.5   2.3    27     10.5 
20/11/1980  2.1    2.3    27     10.5 
21/11/1980  0      1.2    28     10.5 
22/11/1980  0      3.8    28     10.5 
23/11/1980  0      2.8    26     10.5 
24/11/1980  0      1.2    26     11 
25/11/1980  13.5   0.6    27     11 
26/11/1980  28.3   1      27     11 
27/11/1980  3.7    1.2    27.5   11 
28/11/1980  3.8    0.9    26     11 
29/11/1980  1.2    0.4    27     11 
30/11/1980  0      0.8    26     11 
01/12/1980  0      2.1    25     10.5 
02/12/1980  23     0.7    26     10.5 
03/12/1980  10     4.9    25     10.5 
04/12/1980  1.4    3.1    25     10.5 
05/12/1980  0      0.4    24.5   10.5 
06/12/1980  4.6    2.1    24     10.5 
07/12/1980  0.1    2.9    25     10.5 
08/12/1980  0      0.5    24     10.5 
09/12/1980  0      1      25     10.5 
10/12/1980  1.3    1.2    24     10.5 
11/12/1980  3.1    0.7    24     10.5 
12/12/1980  0      0.8    25     10.5 
13/12/1980  1.7    1.5    25     10.5 
14/12/1980  0      0.9    26     10.5 
15/12/1980  0.2    0.5    24     10.5 
16/12/1980  2.5    1.7    25     10.5 
17/12/1980  0      1.3    23     10.5 
18/12/1980  0      0.7    23     10.5 
19/12/1980  0      0.9    23     10.5 
20/12/1980  0      0.9    22     10.5 
21/12/1980  0      0.5    22     11 
22/12/1980  0      0.5    22     11 
23/12/1980  0      1.5    32     11 
24/12/1980  0      0.4    23     10.5 
25/12/1980  0      1.2    23     10 
26/12/1980  0      1.1    23.5   10 
27/12/1980  0      0.8    24     0.9 
28/12/1980  3      1.8    24     8.5 
29/12/1980  2.1    0.7    24     8 
30/12/1980  0      1.3    23     7.5 
31/12/1980  0      0.9    22.5   7.5 
01/01/1981  0.1    1.3    22.5   7.5 
02/01/1981  0      0.9    22     7.5 
03/01/1981  0      0.3    21     7.5 
04/01/1981  0      0.5    21     7.5 
05/01/1981  0      1.3    22     7.5 
06/01/1981  0      0.7    22     7.5 
07/01/1981  0      0.7    22     7.5 
08/01/1981  0      1.1    22     6.5 
09/01/1981  0      0.6    22     7.5 
10/01/1981  28     0.6    22     7.5 
11/01/1981  25     0.6    22     7.5 
12/01/1981  30     0.4    22     7.5 
13/01/1981  0.1    0.5    22     7.5 
14/01/1981  1.4    0.8    21.5   7.5 
15/01/1981  5.3    0.4    22     7.5 
16/01/1981  6.4    0.5    22     7.5 
17/01/1981  5.4    0.5    21     7.5 
18/01/1981  5.7    0.5    20     7.5 
19/01/1981  7      0.4    21     7.5 
20/01/1981  6.4    0.1    20     7.5 
21/01/1981  4.7    0.2    20     7.5 
22/01/1981  8      0.2    19     7.5 
23/01/1981  7.5    0.1    20     7.5 
24/01/1981  0      0.1    20     7.5 
25/01/1981  0      0.9    22     7.5 
26/01/1981  0      0.5    24     7.5 
27/01/1981  0      0.7    24     7.5 
28/01/1981  0      0.5    24     7.5 
29/01/1981  0      0.5    24     7.5 
30/01/1981  0      0.6    24     7.5 
31/01/1981  0      0.6    24     7.5 
01/02/1981  3.4    2.6    31     7.5 
02/02/1981  2.7    0.7    31     7.5 
03/02/1981  0      0.2    30     7.5 
04/02/1981  0      1.4    30     7.5 
05/02/1981  0      1.5    30     7.5 
06/02/1981  0.6    0.7    29     7.5 
07/02/1981  0      1.3    29     7.5 
08/02/1981  0      3.3    29     7.5 
09/02/1981  0      2.1    28     7.5 
10/02/1981  0      3.3    35     7.5 
11/02/1981  5.3    1.6    34     7.5 
12/02/1981  2      1.4    33     7.5 
13/02/1981  4.5    0.2    32     7.5 
14/02/1981  2      0.2    33     7.5 
15/02/1981  0.8    0.3    33     7.5 
16/02/1981  2      1.8    33     7.5 
17/02/1981  0.9    0.9    32     7.5 
18/02/1981  0.1    1.5    32     7.5 
19/02/1981  0      1.8    32     7.5 
20/02/1981  0      1.2    32     8 
21/02/1981  0      1.5    32     8 
22/02/1981  6      0.2    30     8 
23/02/1981  7.5    1.7    31     8 
24/02/1981  0      2.6    31     8 
25/02/1981  0      2.6    29     8 
26/02/1981  0      1.6    29     8 
27/02/1981  0      1.8    29     8 
28/02/1981  0      0.3    28     8 
01/03/1981  0.6    0.3    28     8.5 
02/03/1981  0      1.7    28     8.5 
03/03/1981  0      1.4    28     8.5 
04/03/1981  0      1.9    33     8.5 
05/03/1981  0.5    1.5    33     8.5 
06/03/1981  11.1   1.9    32     8.5 
07/03/1981  0.8    3.8    32     8.5 
08/03/1981  5      1.2    32     8.5 
09/03/1981  7.5    1.2    32     8.5 
10/03/1981  3.2    2      31     8.5 
11/03/1981  18.4   1.2    31     8.5 
12/03/1981  7      3.2    31     8.5 
13/03/1981  1.5    1.9    30     8 
14/03/1981  3      2      31     8 
15/03/1981  2      0.3    30     8.5 
16/03/1981  16     1.4    29     8.5 
17/03/1981  0      0.6    29     8.5 
18/03/1981  3.2    1      29     8.5 
19/03/1981  3.6    1      29     8.5 
20/03/1981  0      3.9    30     8.5 
21/03/1981  0      3.9    31     8.5 
22/03/1981  0      3.9    29     8.5 
23/03/1981  0.6    4.5    29     8.5 
24/03/1981  5.8    2.4    29     8 
25/03/1981  2     Nulo    28     8.5 
26/03/1981  0      0.8    28     8.5 
27/03/1981  0      3.9    28     8.5 
28/03/1981  0      3.1    28     8.5 
29/03/1981  0      1.4    28     8.5 
30/03/1981  0      3.2    33     8.5 
31/03/1981  0      3.8    33     9 
01/04/1981  0.1    3.8    33     9 
02/04/1981  0      4.3    33     9 
03/04/1981  0      4.3    34     9 
04/04/1981  0      1.6    34     9.5 
05/04/1981  0.3    1.5    34     9.5 
06/04/1981  0      2.5    34     9.5 
07/04/1981  0      4.9    34     9.5 
08/04/1981  0      3.1    33     9.5 
09/04/1981  0      4.4    33     9.5 
10/04/1981  0      4.8    32     9 
11/04/1981  0      1.8    31     9 
12/04/1981  0      3      31     9 
13/04/1981  0      2.9    30     9 
14/04/1981  7      2.3    29     9 
15/04/1981  9.4    5.1    29     9 
16/04/1981  20     3.7    29     9 
17/04/1981  0      3.5    29     9 
18/04/1981  0      4.2    29     9 
19/04/1981  0      2.1    29     9 
20/04/1981  0      2.4    29     9 
21/04/1981  0      3.5    29     9 
22/04/1981  0      3.5    29     9 
23/04/1981  0      4.5    30     9 
24/04/1981  1.2    2.8    33     9 
25/04/1981  0      3.2    33     9 
26/04/1981  0      3.2    33     9 
27/04/1981  5.8    2.9    32     9 
28/04/1981  0      3.1    32     9 
29/04/1981  0      2.3    32     9 
30/04/1981  0      4.5    32     9 
01/05/1981  0      3.1    32     9 
02/05/1981  0      1.2    32     9 
03/05/1981  0      2      32.6   9.5 
04/05/1981  0      6      33     9.5 
05/05/1981  0      2.5    33     9.5 
06/05/1981  0      4.1    33     9.5 
07/05/1981  0      3.4    33     9.5 
08/05/1981  0      3.1    32.5   9.5 
09/05/1981  2.4    1.9    32.5   9.5 
10/05/1981  0      5.5    32     10 
11/05/1981  0      4.1    31     10 
12/05/1981  0      3.4    31     10 
13/05/1981  0      4      31     10 
14/05/1981  0      4.4    31     10 
15/05/1981  0      3.4    32     10 
16/05/1981  0      6      33     10 
17/05/1981  0      4.1    33     10 
18/05/1981  0      5.1    33     10 
19/05/1981  0.3    3      32     10 
20/05/1981  2.5    3.5    32     10 
21/05/1981  0      3.5    35     10 
22/05/1981  0      5.3    30     10 
23/05/1981  9.4    2.7    31     10 
24/05/1981  0      2.6    30     10 
25/05/1981  20     1.2    30     10 
26/05/1981  0      2.9    31     10 
27/05/1981  32.6   1.6    33     10 
28/05/1981  0      1.9    34     10 
29/05/1981  7      2.2    34     10 
30/05/1981  11     2.3    34     10 
31/05/1981  10     4.1    34     10 
01/06/1981  18.3   2.2    34     10 
02/06/1981  20     3      34     10 
03/06/1981  2      2.6    33     10 
04/06/1981  1      2.2    33     10 
05/06/1981  65     1.8    33     10 
06/06/1981  4.4    1.9    32     10 
07/06/1981  140   Nulo    32     10 
08/06/1981  6      3.1    30     10 
09/06/1981  48     2.5    30     10 
10/06/1981  40     2.8    30     10 
11/06/1981  35     1.3    31     10 
12/06/1981  30     1.3    31     10 
13/06/1981  20     0.6    31     10 
14/06/1981  42     1.5    30     10 
15/06/1981  76.8   1.3    30     10 
16/06/1981  16.2   1.3    30     10 
17/06/1981  57     0.3    30     10 
18/06/1981  122   Nulo    29     10 
19/06/1981  7.5    2.6    29     10 
20/06/1981  25.5   4.3    29     10 
21/06/1981  4.5    2.8    30     10 
22/06/1981  1      3.1    30     10 
23/06/1981  75     0.3    30     10 
24/06/1981  66.3   4.4    31     10 
25/06/1981  29.7   3.4    30     10 
26/06/1981  4.7    2.5    30     10 
27/06/1981  12.2   1.3    30     10 
28/06/1981  42.5   2.4    29     10 
29/06/1981  5.1    0.4    28     10 
30/06/1981  20     0.8    28     10 
01/07/1981  6.5    1.1    29     10 
02/07/1981  0      1.4    28     10 
03/07/1981  0      0.9    28     10 
04/07/1981  7.9    0.5    28     10 
05/07/1981  4.6    2.2    28     10 
06/07/1981  0      4.8    28     10 
07/07/1981  0.7    2.2    31     10 
08/07/1981  20     2.2    30.5   10 
09/07/1981  14.5   4.1    30     10.5 
10/07/1981  52     2.5    30     10 
11/07/1981  70     5.6    30     10 
12/07/1981  69.4   0.9    29     10 
13/07/1981  81.9   0.7    29     10 
14/07/1981  41.6   1.3    28.5   11 
15/07/1981  0.2    0.3    27.5   10 
16/07/1981  11.6   0.8    29     11 
17/07/1981  4.8    1.2    30     10.5 
18/07/1981  4.6    0.9    30     10.5 
19/07/1981  11.4   0.6    30     10.5 
20/07/1981  44.6   1.1    30     10.5 
21/07/1981  12.5   2.1    29     10.5 
22/07/1981  1      2.5    30     10.5 
23/07/1981  0      2      30     10.5 
24/07/1981  6.1    1.6    30     10.5 
25/07/1981  2.8    2      30     10.5 
26/07/1981  12.2   1.6    29     10.5 
27/07/1981  0      0.9    30     10.5 
28/07/1981  2.5    2      30.5   10.5 
29/07/1981  5.7    0.9    30.5   11 
30/07/1981  2.3    1.8    30.5   11 
31/07/1981  0.2    2.6    29     11 
01/08/1981  0      0.2    30     11 
02/08/1981  0      3      30     11 
03/08/1981  0.2    2.5    31     11 
04/08/1981  2.5    1.8    31     11 
05/08/1981  0      3.4    30     11 
06/08/1981  0      4.9    31     11 
07/08/1981  0.1    4.6    31     11 
08/08/1981  29.6   2.1    31     11 
09/08/1981  7.3    2.3    31     11 
10/08/1981  2.8    3.8    29     11.5 
11/08/1981  0.2    3.3    31     11 
12/08/1981  20.5   1.3    30     11 
13/08/1981  19     2.4    30     11 
14/08/1981  0      1.4    31     11 
15/08/1981  22.2   0.5    30     11.5 
16/08/1981  20.1   1.4    30     12 
17/08/1981  20.2   2.4    30     12 
18/08/1981  5.6    1.8    30.5   12 
19/08/1981  0      1.3    32     12 
20/08/1981  33.4   2.3    32     12 
21/08/1981  19     0.7    31     11 
22/08/1981  13.3   0.4    30     11 
23/08/1981  1      1.6    31     11 
24/08/1981  20.4   8.9    29     11 
25/08/1981  37     1.4    30     11 
26/08/1981  45     8.8    28.5   11 
27/08/1981  10    Nulo    29     11 
28/08/1981  79.5   0.7    29     11 
29/08/1981  13.3   0.4    30     11 
30/08/1981  8.8    2      30     11 
31/08/1981  0      0.5    30     11 
01/09/1981  23.4   2.3    31     11 
02/09/1981  45     2.8    30     11 
03/09/1981  30     0.5    30     11 
04/09/1981  31.8   0.9    30     11 
05/09/1981  0      1.4    32     11 
06/09/1981  0      2.7    30     12 
07/09/1981  4.5    1.2    30     12 
08/09/1981  1      0.6    30     12 
09/09/1981  1      2.2    30     12 
10/09/1981  1.1    2.6    30     12 
11/09/1981  7      1.7    31     12 
12/09/1981  1      2.1    30     12 
13/09/1981  0      1.1    30     12 
14/09/1981  0      1.9    29     12 
15/09/1981  0.5    1.5    30     12 
16/09/1981  14.1   1.4    29     12 
17/09/1981  8.2    0.5    30     12 
18/09/1981  9      1.2    31     12 
19/09/1981  5.1    0.4    30     12 
20/09/1981  0      1.7    30     12 
21/09/1981  0      3      29     12 
22/09/1981  10     0.5    30     12 
23/09/1981  16.6   1.8    28     12 
24/09/1981  13.4   0.2    31     12 
25/09/1981  0      1.5    30     12 
26/09/1981  0      2.5    30     12 
27/09/1981  60     2.2    30     12 
28/09/1981  43.5   0.5    30     12 
29/09/1981  12.6   0.5    31     12 
30/09/1981  0      2.1    31     12 
01/10/1981  5.4    1.1    31     12.5 
02/10/1981  9.8    1.5    31     12.5 
03/10/1981  3.2    2.3    31     12 
04/10/1981  26.2   1.2    31     12 
05/10/1981  0      1.6    31     12 
06/10/1981  21     1.7    31     12 
07/10/1981  4.1    2.5    30     12 
08/10/1981  0      1      30     12 
09/10/1981  0      0.9    29     12 
10/10/1981  0      0.6    29     12 
11/10/1981  0      1.4    29     12 
12/10/1981  2.3    2.8    30     12 
13/10/1981  0.6    3.2    30     12 
14/10/1981  0.2    1.3    31     12 
15/10/1981  0      1.8    31     12 
16/10/1981  0.5    1.6    31     12 
17/10/1981  0      2.8    31     12 
18/10/1981  2.9    0.5    31     12 
19/10/1981  2.7    2.4    31     12 
20/10/1981  3.8    1      31     12 
21/10/1981  2.1    1.8    32     12 
22/10/1981  7.1    1.1    32     12 
23/10/1981  2.1    1.2    32     12 
24/10/1981  0.3    0.5    32     12 
25/10/1981  0      0.6    31     12 
26/10/1981  44.7   0.6    32     12 
27/10/1981  0      0.8    32     12 
28/10/1981  1.1    2.6    32     12 
29/10/1981  0      0.6    32     12 
30/10/1981  0.2    1.7    32     12 
31/10/1981  0      1.2    31     12 
01/11/1981  0.8    1.5    32     12 
02/11/1981  0      2      32     12 
03/11/1981  0      1.5    32     12 
04/11/1981  0      0.8    32     12 
05/11/1981  0      1.7    32     12 
06/11/1981  0      1.4    32     12 
07/11/1981  13     1.3    32     12 
08/11/1981  0      0.2    32     12 
09/11/1981  4.4    1.1    35     12 
10/11/1981  0.3    1.1    35     13 
11/11/1981  1      1.3    35     13 
12/11/1981  0      0.3    34     13 
13/11/1981  0      1.4    34     12 
14/11/1981  0      1.4    34     12 
15/11/1981  0      0.7    34     12 
16/11/1981  0      1.2    34     12 
17/11/1981  0      2.3    33     12 
18/11/1981  0      3.7    32     12 
19/11/1981  0      1.6    31     12 
20/11/1981  16.3  Nulo    31     12 
21/11/1981  0      1.1    32     11 
22/11/1981  0      3      32     11 
23/11/1981  0      1.1    30     11 
24/11/1981  0      1.8    31     11 
25/11/1981  0      1.5    31     11 
26/11/1981  0      0.7    31     11 
27/11/1981  0      1.7    30     11 
28/11/1981  0      1.8    30     11 
29/11/1981  0      1.5    30     11 
30/11/1981  0      0.6    30     11 
01/12/1981  2.4    0.9    29     11 
02/12/1981  0.1    1      29     11 
03/12/1981  0      1.3    30     11 
04/12/1981  40.3   0.7    30     11 
05/12/1981  8      0.9    29     11 
06/12/1981  0      1.7    30     11 
07/12/1981  0      2.5    30     11 
08/12/1981  1      1.7    30     11 
09/12/1981  15.3   1.7    30     11 
10/12/1981  0      1.2    30     11 
11/12/1981  0      1.2    31     11 
12/12/1981  0      0.3    31     11 
13/12/1981  0      1.7    32     11 
14/12/1981  6.5    1.3    30     11 
15/12/1981  0      2.3    30     11 
16/12/1981  0      2      30     11 
17/12/1981  3      1.2    30     11 
18/12/1981  6      1.9    30     11 
19/12/1981  2      1      30     11 
20/12/1981  0      1.1    30     11 
21/12/1981  0      0.4    30     11 
22/12/1981  0      1.7    30     11 
23/12/1981  3.2    0.8    30     11 
24/12/1981  4      1.5    30     11 
25/12/1981  3      0.9    28     11 
26/12/1981  0      1.1    30     11 
27/12/1981  0      0.2    30     11 
28/12/1981  0      2.9    32     11 
29/12/1981  0      1.5    32     11 
30/12/1981  0      2.7    32     11 
31/12/1981  0      2.4    32     11 
01/01/1982  0      1.1    30     11 
02/01/1982  0      2.3    31     11 
03/01/1982  0      1.7    30     11 
04/01/1982  0      2.3    32     11 
05/01/1982  0      1.6    32     11 
06/01/1982  0      2.8    32     11 
07/01/1982  0      3.3    31     11 
08/01/1982  3.5    0.4    31     11 
09/01/1982  0.5    1.4    31     11 
10/01/1982  0      0.5    30     11 
11/01/1982  0.3    0.4    30     11 
12/01/1982  0      1      30     11 
13/01/1982  1      5.6    30     11 
14/01/1982  2.5    0.7    32     11 
15/01/1982  0      1.4    31     10 
16/01/1982  1.3    1.6    32     11 
17/01/1982  0      1.4    31     11 
18/01/1982  0      0.9    31     11 
19/01/1982  0      1.4    31     11 
20/01/1982  0      2.1    31     11 
21/01/1982  0      1.3    31     11 
22/01/1982  0      1.4    31     11 
23/01/1982  0      2      30     11 
24/01/1982  0      2.8    30     11 
25/01/1982  0      1.5    30     11 
26/01/1982  0      3.5    30     11 
27/01/1982  0      4      30     11 
28/01/1982  2      2.3    31     11 
29/01/1982  0      1.5    31     12 
30/01/1982  0.1    2.8    30     12 
31/01/1982  0      2.3    31     12 
01/02/1982  0      1.2    30     12 
02/02/1982  0.1    0.7    30     12 
03/02/1982  0.1    0.5    30     12 
04/02/1982  0.1    1.1    31     12 
05/02/1982  1.1    2      30     12 
06/02/1982  1.6    2.5    29     12 
07/02/1982  0      0.5    28     12 
08/02/1982  0      2.3    28     12 
09/02/1982  0      1.8    31     12 
10/02/1982  0      2.3    30     13 
11/02/1982  0      2.6    31     12.5 
12/02/1982  0      1.5    31     12.5 
13/02/1982  0      1.4    30     12.5 
14/02/1982  0      1.2    31     12.5 
15/02/1982  0      1.8    30     12.5 
16/02/1982  0      1.5    30     12.5 
17/02/1982  0      1.7    31     12.5 
18/02/1982  2.7    1.9    31     12.5 
19/02/1982  0      2.2    31     12.5 
20/02/1982  0      2.5    31     12.5 
21/02/1982  6.2    2.2    30     12.5 
22/02/1982  4      1.7    30     12.5 
23/02/1982  0.6    2.3    30     12.5 
24/02/1982  0      1.3    30     12.5 
25/02/1982  4      1.7    30     12.5 
26/02/1982  11     2.6    29     12.5 
27/02/1982  4.7    2.8    28     12.5 
28/02/1982  0.5    2.4    28     12.5 
01/03/1982  10     0.3    28     12.5 
02/03/1982  0      1.5    28     12.5 
03/03/1982  0      1.9    28     12.5 
04/03/1982  0      1.7    28     10 
05/03/1982  0      2.6    33     10 
06/03/1982  3.2    0.9    33     8.5 
07/03/1982  0      2.2    32     8 
08/03/1982  0      3.1    32.5   8.5 
09/03/1982  0      0.2    30     8 
10/03/1982  0      1.9    31     8 
11/03/1982  0      1.2    32     8 
12/03/1982  0      1.1    32     8 
13/03/1982  0      2.2    34     8 
14/03/1982  0      3.3    38     8 
15/03/1982  0      2.1    32     8 
16/03/1982  0      2.3    33     8.5 
17/03/1982  0      2.7    32     8.5 
18/03/1982  0      1.9    32     8.5 
19/03/1982  0      2.3    32     8.5 
20/03/1982  0      1.6    32     8 
21/03/1982  0      2.4    32     8 
22/03/1982  0      1.9    32     8 
23/03/1982  0      2.2    32     8 
24/03/1982  0      2      31     8 
